NUM,POS,PLAYER,GP,G,A,P,PM,PIM,PP,GW,SHOTS,SHOT.PERCENTAGE
81,R,PHIL KESSEL,48,20,32,52,-3,18,6,4,161,12.4
43,C,NAZEM KADRI,48,18,26,44,15,23,5,1,107,16.8
21,L,JAMES VAN RIEMSDYK,48,18,14,32,-7,26,5,3,140,12.9
4,D,CODY FRANSON,45,4,25,29,4,8,3,0,70,5.7
3,D,DION PHANEUF,48,9,19,28,-4,65,3,1,88,10.2
42,C,TYLER BOZAK,46,12,16,28,-1,6,4,3,61,19.7
41,L,NIKOLAI KULEMIN,48,7,16,23,-5,22,0,0,72,9.7
16,L,CLARKE MACARTHUR,40,8,12,20,3,26,2,1,62,12.9
19,L,JOFFREY LUPUL,16,11,7,18,8,12,3,3,42,26.2
11,C,JAY MCCLEMENT,48,8,9,17,0,11,0,0,48,16.7
84,C,MIKHAIL GRABOVSKI,48,9,7,16,-10,24,0,1,80,11.3
36,D,CARL GUNNARSSON,37,1,14,15,5,14,0,0,28,3.6
39,R,MATT FRATTIN,25,7,6,13,6,4,0,3,42,16.7
26,D,JOHN-MICHAEL LILES,32,2,9,11,-1,4,0,0,47,4.3
47,C,LEO KOMAROV,42,4,5,9,-1,18,0,3,51,7.8
2,D,MARK FRASER,45,0,8,8,18,85,0,0,33,0
53,D,MICHAEL KOSTKA,35,0,8,8,-7,27,0,0,49,0
38,L,FRAZER MCLAREN,35,3,2,5,0,102,0,2,20,15
28,R,COLTON ORR,44,1,3,4,4,155,0,0,13,7.7
51,D,JAKE GARDINER,12,0,4,4,0,0,0,0,12,0
55,D,KORBINIAN HOLZER,22,2,1,3,-12,28,0,1,16,12.5
23,D,RYAN O'BYRNE,8,1,1,2,4,6,0,0,5,20
48,L,RYAN HAMILTON,10,0,2,2,1,0,0,0,6,0
20,C,DAVID STECKEL,13,0,1,1,-2,0,0,0,4,0
18,R,MIKE BROWN,12,0,1,1,1,70,0,0,2,0
8,D,MIKE KOMISAREK,4,0,0,0,2,2,0,0,1,0
22,C,JOE COLBORNE,5,0,0,0,-1,2,0,0,4,0
